date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:34	6170/6170	---MCZ	200	added ('OK')	application/javascript	etag:W/%221eb04acf0f5afe764d9b619bab367f79%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-header.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-header.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:34	119317/119317	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c4cb4c6221da1423e34a2c2ecc5a5cd0%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:34	59632/59632	---M-Z	200	added ('OK')	application/javascript	etag:W/%227112522d5ab4be1f8e844012ee2a75d0%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/8836.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/8836.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:35	5847/5847	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e1c53f22cfa0f33311a9662e282de766%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/4660.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/4660.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:35	38349/38349	---M-Z	200	added ('OK')	application/javascript	etag:W/%223f7127d20c4511c1856147e6fb687909%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/8174.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/8174.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:35	11307/11307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22395946451c3594faaf6e66a28d02bbe7%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/5995.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/5995.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:36	126155/126155	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c97e63313af3da052b32722d2470e4dc%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/553.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/553.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:36	28561/28561	---MCZ	200	added ('OK')	application/javascript	etag:W/%22212bd32494484de83d0e1a25919c7fbd%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/6549.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/6549.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:36	14356/14356	---M-Z	200	added ('OK')	application/javascript	etag:W/%222eae9423bfe132da0e439ef857c70e78%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/1581.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/1581.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:37	406/406	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f30bb3394ab4ebdab564392592aa8a24%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-contacts-phone.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-contacts-phone.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:37	11170/11170	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c63829ae1e4b1018a6cfd6cbccc2d88f%22	https://static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-text-area.chunk.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/client-viewer/form-app-text-area.chunk.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:38	92352/92352	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20May%202026%2020:38:37%20GMT	https://static.wixstatic.com/media/11062b_7206e81c3345414da5836f46f5f048f7~mv2.jpg/v1/crop/x_312,y_0,w_4241,h_4241/fill/w_490,h_490,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Builders%20using%20digger%20to%20lift%20kerb%20stones%20on%20housing%20building%20site.jpg	C:/My%20Web%20Sites/Purnells/static.wixstatic.com/media/11062b_7206e81c3345414da5836f46f5f048f7_mv2.jpg/v1/crop/x_312,y_0,w_4241,h_4241/fill/w_490,h_490,al_c,q_80,usm_0.66_1.00_0.01,enc_av/Builders%20using%20digger%20to%20lift%20kerb%20stones%20on%20housin	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:38	897633/897633	---M-Z	200	added ('OK')	application/javascript	etag:W/%22b955409b47d8eff9af39917831591521%22	https://static.parastorage.com/services/form-app/1.2659.0/FormViewerWidgetNoCss.bundle.min.js	C:/My%20Web%20Sites/Purnells/static.parastorage.com/services/form-app/1.2659.0/FormViewerWidgetNoCss.bundle.min.js	(from https://www.purnellspropertymaintenance.co.uk/contact-us)
21:38:38	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202026%2020:38:38%20GMT	https://www.purnellspropertymaintenance.co.uk/api	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/api.4d.delayed	(from https://www.purnellspropertymaintenance.co.uk/api/)
21:38:42	2210/2210	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20May%202026%2020:38:42%20GMT	https://www.purnellspropertymaintenance.co.uk/envelope	C:/My%20Web%20Sites/Purnells/www.purnellspropertymaintenance.co.uk/envelope.4e.delayed	(from https://www.purnellspropertymaintenance.co.uk/envelope/)
